1,Rekayasa Perangkat Lunak,Bidang Keahlian Teknologi Informasi dan Komunikasi - Program Keahlian Teknik Komputer dan Informatika,1
2,Teknik Komputer dan Jaringan,Bidang Keahlian Teknologi Informasi dan Komunikasi - Program Keahlian Teknik Komputer dan Informatika,1
3,Multimedia,Bidang Keahlian Teknologi Informasi dan Komunikasi - Program Keahlian Teknik Komputer dan Informatika,1
4,Sistem Informatika  Jaringan dan Aplikasi,Bidang Keahlian Teknologi Informasi dan Komunikasi - Program Keahlian Teknik Komputer dan Informatika,1
5,Teknik Transmisi Telekomunikasi,Bidang Keahlian Teknologi Informasi dan Komunikasi - Program Keahlian Teknik Telekomunikasi,1
6,Teknik Jaringan Akses Telekomunikasi,Bidang Keahlian Teknologi Informasi dan Komunikasi - Program Keahlian Teknik Telekomunikasi,1
7,Agribisnis Tanaman Pangan dan Hortikultura,Bidang Keahlian Agribisnis dan Agroteknologi - Program Keahlian Agribisnis Tanaman,1
8,Agribisnis Tanaman Perkebunan,Bidang Keahlian Agribisnis dan Agroteknologi - Program Keahlian Agribisnis Tanaman,1
9,Pemuliaan dan Perbenihan Tanaman,Bidang Keahlian Agribisnis dan Agroteknologi - Program Keahlian Agribisnis Tanaman,1
10,Lanskap dan Pertamanan,Bidang Keahlian Agribisnis dan Agroteknologi - Program Keahlian Agribisnis Tanaman,1
11,Produksi dan Pengelolaan Perkebunan,Bidang Keahlian Agribisnis dan Agroteknologi - Program Keahlian Agribisnis Tanaman,1
12,Agribisnis Organik Ekologi,Bidang Keahlian Agribisnis dan Agroteknologi - Program Keahlian Agribisnis Tanaman,1
